,Date,Open,High,Low,Close,Adj Close,Volume,No. of Shares,No. of Trades,Change(%)
1032,07-03-2019,1252.131104,1267.782715,1246.335938,1258.322388,1238.983154,8186126,586805,11921,0.0043
1033,08-03-2019,1254.161743,1262.48291,1250.14978,1255.201904,1235.910889,6097305,736337,5642,-0.0025
1034,11-03-2019,1258.124268,1299.680298,1256.093506,1291.854492,1272,9810964,779193,13550,0.0292
1035,12-03-2019,1304.534302,1321.473755,1301.90918,1318.848633,1298.579346,11335173,352593,14061,0.0209
1036,13-03-2019,1324.445557,1347.229614,1315.62915,1334.648804,1314.136597,11342554,759441,18754,0.012
1037,14-03-2019,1337.075806,1349.210815,1323.554077,1328.952881,1308.528198,10500649,1924635,16091,-0.0043
1038,15-03-2019,1332.370483,1346.040894,1298.887817,1309.239746,1289.118042,16043743,1028000,12784,-0.0148
1039,18-03-2019,1318.501953,1345.198853,1316.520752,1337.373047,1316.81897,10201021,1336698,10917,0.0215
1040,19-03-2019,1347.229614,1367.04187,1330.488281,1363.624146,1342.666748,9898262,874076,15231,0.0196
1041,20-03-2019,1364.862427,1374.966675,1351.192017,1362.534546,1341.59375,9986597,761355,12176,-0.0008
1042,22-03-2019,1359.612183,1367.93335,1324.148438,1329.151001,1308.723267,11573789,938383,13638,-0.0245
1043,25-03-2019,1318.105713,1324.296997,1304.336182,1312.013428,1291.849121,8027368,627417,8161,-0.0129
1044,26-03-2019,1317.808472,1358.720703,1317.511353,1354.411499,1333.595581,9569142,593064,14203,0.0323
1045,27-03-2019,1365.011108,1365.011108,1331.627441,1336.580566,1316.038696,10189856,488850,11518,-0.0132
1046,28-03-2019,1337.571167,1356.937622,1330.191162,1347.229614,1326.52417,10582305,905101,11281,0.008
1047,01-04-2019,1357.135742,1393.59021,1349.755615,1378.780518,1357.590088,10194002,627415,14020,0.021
1048,02-04-2019,1384.872803,1389.924927,1367.140869,1376.650757,1355.493042,8088587,519984,10193,-0.0015
1049,03-04-2019,1379.672119,1389.825806,1359.116943,1362.286865,1341.350098,7923866,401704,9614,-0.0104
1050,04-04-2019,1366.051147,1370.707031,1334.599365,1340.344849,1319.745117,8455067,702586,14046,-0.0161
1051,05-04-2019,1348.170654,1351.093018,1330.389282,1341.18689,1320.574219,6792015,498144,9170,0.0006
